Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./data/cifar-100-python.tar.gz
Extracting ./data/cifar-100-python.tar.gz to ./data
Files already downloaded and verified
Dataset: Cifar 100 | Images/Client: 5000

--- Starting DGL | Clients: 10 | Splits: 2 ---
[DGL_1_10] Epoch 1 | Train: 5.5% | Test: 8.3% | Time: 31.9s | GPU: 761MB
[DGL_1_10] Epoch 2 | Train: 10.5% | Test: 11.8% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 3 | Train: 13.9% | Test: 15.3% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 4 | Train: 16.6% | Test: 18.3% | Time: 30.1s | GPU: 761MB
[DGL_1_10] Epoch 5 | Train: 18.9% | Test: 20.0% | Time: 30.9s | GPU: 761MB
[DGL_1_10] Epoch 6 | Train: 21.6% | Test: 22.6% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 7 | Train: 23.9% | Test: 21.8% | Time: 31.3s | GPU: 761MB
[DGL_1_10] Epoch 8 | Train: 26.4% | Test: 23.7% | Time: 30.8s | GPU: 761MB
[DGL_1_10] Epoch 9 | Train: 28.5% | Test: 30.1% | Time: 29.8s | GPU: 761MB
[DGL_1_10] Epoch 10 | Train: 30.7% | Test: 30.6% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 11 | Train: 32.4% | Test: 34.6% | Time: 30.1s | GPU: 761MB
[DGL_1_10] Epoch 12 | Train: 34.2% | Test: 32.3% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 13 | Train: 36.6% | Test: 34.3% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 14 | Train: 37.8% | Test: 35.6% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 15 | Train: 39.4% | Test: 36.9% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 16 | Train: 41.3% | Test: 40.9% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 17 | Train: 42.4% | Test: 37.2% | Time: 30.7s | GPU: 761MB
[DGL_1_10] Epoch 18 | Train: 43.6% | Test: 41.0% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 19 | Train: 44.7% | Test: 39.9% | Time: 29.9s | GPU: 761MB
[DGL_1_10] Epoch 20 | Train: 45.5% | Test: 41.2% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 21 | Train: 47.0% | Test: 45.4% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 22 | Train: 48.1% | Test: 43.8% | Time: 30.0s | GPU: 761MB
[DGL_1_10] Epoch 23 | Train: 48.9% | Test: 44.9% | Time: 30.2s | GPU: 761MB
[DGL_1_10] Epoch 24 | Train: 49.6% | Test: 46.2% | Time: 30.8s | GPU: 761MB
[DGL_1_10] Epoch 25 | Train: 50.2% | Test: 41.4% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 26 | Train: 51.2% | Test: 44.5% | Time: 30.9s | GPU: 761MB
[DGL_1_10] Epoch 27 | Train: 51.7% | Test: 48.8% | Time: 30.9s | GPU: 761MB
[DGL_1_10] Epoch 28 | Train: 52.6% | Test: 48.2% | Time: 31.0s | GPU: 761MB
[DGL_1_10] Epoch 29 | Train: 53.3% | Test: 49.8% | Time: 30.8s | GPU: 761MB
[DGL_1_10] Epoch 30 | Train: 53.7% | Test: 49.7% | Time: 30.7s | GPU: 761MB
[DGL_1_10] Epoch 31 | Train: 55.3% | Test: 49.2% | Time: 30.9s | GPU: 761MB
[DGL_1_10] Epoch 32 | Train: 55.2% | Test: 50.8% | Time: 31.4s | GPU: 761MB
[DGL_1_10] Epoch 33 | Train: 56.2% | Test: 50.0% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 34 | Train: 56.5% | Test: 50.4% | Time: 30.4s | GPU: 761MB
[DGL_1_10] Epoch 35 | Train: 57.3% | Test: 52.4% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 36 | Train: 57.9% | Test: 51.0% | Time: 30.6s | GPU: 761MB
[DGL_1_10] Epoch 37 | Train: 57.7% | Test: 53.7% | Time: 30.0s | GPU: 761MB
[DGL_1_10] Epoch 38 | Train: 58.9% | Test: 50.8% | Time: 30.8s | GPU: 761MB
[DGL_1_10] Epoch 39 | Train: 58.8% | Test: 53.8% | Time: 30.3s | GPU: 761MB
[DGL_1_10] Epoch 40 | Train: 59.8% | Test: 50.3% | Time: 30.2s | GPU: 761MB
