Scenario,Epoch,TrainAcc,TestAcc,Loss,CommFwdBytes,CommBwdBytes,ClientTimeFwd,ClientTimeBwd,ServerTimeFwd,ServerTimeBwd,CommTimeWall,TotalTime,PeakGPUMemMB
DGL_1_10,1,5.4600,8.3400,8.5693,1638400000,0,7.3147,7.3147,6.4833,6.4833,4.2949,31.8909,761.45
DGL_1_10,2,10.5000,11.7800,7.7058,1638400000,0,6.5292,6.5292,6.4769,6.4769,4.2463,30.2584,761.45
DGL_1_10,3,13.9020,15.3200,7.2717,1638400000,0,6.4719,6.4719,6.4959,6.4959,4.2742,30.2097,761.45
DGL_1_10,4,16.5520,18.3100,6.9534,1638400000,0,6.4708,6.4708,6.4779,6.4779,4.2136,30.1109,761.45
DGL_1_10,5,18.8600,19.9900,6.6682,1638400000,0,6.7577,6.7577,6.5027,6.5027,4.3320,30.8529,761.45
DGL_1_10,6,21.5500,22.6000,6.3761,1638400000,0,6.4670,6.4670,6.4850,6.4850,4.2882,30.1922,761.45
DGL_1_10,7,23.9260,21.7800,6.1092,1638400000,0,6.9670,6.9670,6.5035,6.5035,4.3871,31.3281,761.45
DGL_1_10,8,26.3860,23.6800,5.8473,1638400000,0,6.7437,6.7437,6.5176,6.5176,4.2577,30.7803,761.45
DGL_1_10,9,28.5220,30.1300,5.6383,1638400000,0,6.3442,6.3442,6.4638,6.4638,4.1920,29.8080,761.45
DGL_1_10,10,30.7120,30.5900,5.4067,1638400000,0,6.5479,6.5479,6.4728,6.4728,4.2901,30.3313,761.45
DGL_1_10,11,32.3920,34.6200,5.2288,1638400000,0,6.4574,6.4574,6.4991,6.4991,4.2316,30.1445,761.45
DGL_1_10,12,34.1840,32.3100,5.0643,1638400000,0,6.6310,6.6310,6.5091,6.5091,4.3456,30.6259,761.45
DGL_1_10,13,36.5860,34.2600,4.8845,1638400000,0,6.5727,6.5727,6.4872,6.4872,4.2637,30.3835,761.45
DGL_1_10,14,37.7580,35.6500,4.7504,1638400000,0,6.5616,6.5616,6.4956,6.4956,4.3171,30.4317,761.45
DGL_1_10,15,39.3760,36.8900,4.6488,1638400000,0,6.7057,6.7057,6.4776,6.4776,4.2588,30.6253,761.45
DGL_1_10,16,41.3220,40.9100,4.4842,1638400000,0,6.4983,6.4983,6.4783,6.4783,4.2761,30.2293,761.45
DGL_1_10,17,42.4120,37.2100,4.3817,1638400000,0,6.6583,6.6583,6.4998,6.4998,4.3648,30.6811,761.45
DGL_1_10,18,43.6340,41.0200,4.3002,1638400000,0,6.5259,6.5259,6.4833,6.4833,4.2129,30.2313,761.45
DGL_1_10,19,44.6680,39.9300,4.1969,1638400000,0,6.3889,6.3889,6.4485,6.4485,4.1985,29.8734,761.45
DGL_1_10,20,45.4980,41.1900,4.1250,1638400000,0,6.6760,6.6760,6.5076,6.5076,4.2501,30.6174,761.45
DGL_1_10,21,46.9600,45.3500,4.0194,1638400000,0,6.5995,6.5995,6.4846,6.4846,4.2810,30.4491,761.45
DGL_1_10,22,48.0640,43.8300,3.9335,1638400000,0,6.4181,6.4181,6.4583,6.4583,4.2596,30.0124,761.45
DGL_1_10,23,48.8740,44.8600,3.8486,1638400000,0,6.5139,6.5139,6.4777,6.4777,4.2657,30.2490,761.45
DGL_1_10,24,49.5880,46.2500,3.7930,1638400000,0,6.7965,6.7965,6.4765,6.4765,4.2965,30.8426,761.45
DGL_1_10,25,50.2140,41.4200,3.7508,1638400000,0,6.5328,6.5328,6.5165,6.5165,4.3047,30.4032,761.45
DGL_1_10,26,51.1880,44.5300,3.6752,1638400000,0,6.8206,6.8206,6.5166,6.5166,4.2507,30.9251,761.45
DGL_1_10,27,51.6700,48.8300,3.6048,1638400000,0,6.7812,6.7812,6.5178,6.5178,4.3280,30.9260,761.45
DGL_1_10,28,52.5760,48.2200,3.5496,1638400000,0,6.8342,6.8342,6.5027,6.5027,4.3495,31.0233,761.45
DGL_1_10,29,53.3220,49.8300,3.5064,1638400000,0,6.7288,6.7288,6.5075,6.5075,4.3428,30.8153,761.45
DGL_1_10,30,53.6780,49.6600,3.4601,1638400000,0,6.6883,6.6883,6.5005,6.5005,4.3057,30.6831,761.45
DGL_1_10,31,55.3460,49.2000,3.3592,1638400000,0,6.7904,6.7904,6.5098,6.5098,4.3185,30.9190,761.45
DGL_1_10,32,55.1560,50.7800,3.3640,1638400000,0,6.9843,6.9843,6.5414,6.5414,4.3240,31.3754,761.45
DGL_1_10,33,56.1560,49.9900,3.2895,1638400000,0,6.6181,6.6181,6.4753,6.4753,4.2484,30.4353,761.45
DGL_1_10,34,56.5200,50.3500,3.2420,1638400000,0,6.5659,6.5659,6.5075,6.5075,4.2983,30.4451,761.45
DGL_1_10,35,57.2820,52.3700,3.1848,1638400000,0,6.6648,6.6648,6.4929,6.4929,4.3173,30.6327,761.45
DGL_1_10,36,57.8560,51.0200,3.1670,1638400000,0,6.6965,6.6965,6.4801,6.4801,4.2966,30.6497,761.45
DGL_1_10,37,57.6560,53.7400,3.1602,1638400000,0,6.4292,6.4292,6.4707,6.4707,4.2376,30.0374,761.45
DGL_1_10,38,58.9480,50.7900,3.0678,1638400000,0,6.7777,6.7777,6.4618,6.4618,4.3071,30.7863,761.45
DGL_1_10,39,58.8060,53.7900,3.0766,1638400000,0,6.4980,6.4980,6.4734,6.4734,4.3466,30.2893,761.45
DGL_1_10,40,59.7500,50.3000,3.0024,1638400000,0,6.4654,6.4654,6.4861,6.4861,4.2505,30.1536,761.45
DGL_1_10,41,60.5560,52.1500,2.9570,1638400000,0,6.6593,6.6593,6.4704,6.4704,4.2898,30.5493,761.45
DGL_1_10,42,60.6260,52.7200,2.9451,1638400000,0,6.6907,6.6907,6.5067,6.5067,4.2969,30.6918,761.45
DGL_1_10,43,60.8440,55.8300,2.9379,1638400000,0,6.4957,6.4957,6.4660,6.4660,4.2164,30.1398,761.45
DGL_1_10,44,60.9940,53.4400,2.8933,1638400000,0,6.7679,6.7679,6.5234,6.5234,4.2745,30.8571,761.45
DGL_1_10,45,61.7880,56.1400,2.8541,1638400000,0,6.7968,6.7968,6.5024,6.5024,4.2706,30.8690,761.45
DGL_1_10,46,62.1320,53.8100,2.8097,1638400000,0,6.5814,6.5814,6.4905,6.4905,4.2831,30.4268,761.45
DGL_1_10,47,62.4120,54.4800,2.8053,1638400000,0,6.6696,6.6696,6.4878,6.4878,4.2553,30.5700,761.45
DGL_1_10,48,62.7680,55.5700,2.7702,1638400000,0,6.5692,6.5692,6.4755,6.4755,4.2404,30.3298,761.45
DGL_1_10,49,63.6960,55.3700,2.7155,1638400000,0,6.5120,6.5120,6.5110,6.5110,4.2983,30.3442,761.45
DGL_1_10,50,63.8860,55.6100,2.7001,1638400000,0,6.4784,6.4784,6.5002,6.5002,4.3091,30.2663,761.45
Std_1_10,1,4.6720,8.3300,4.3743,1638400000,1638400000,4.0528,8.3653,4.3388,5.9398,4.4279,27.1245,1059.35
Std_1_10,2,9.9380,11.3700,3.8817,1638400000,1638400000,3.9320,8.3754,4.2240,5.8260,4.3161,26.6735,1059.35
Std_1_10,3,13.3920,14.6300,3.6497,1638400000,1638400000,3.8242,8.3592,4.1126,5.8278,4.3760,26.4999,1059.35
Std_1_10,4,16.7720,18.3400,3.4559,1638400000,1638400000,4.2805,8.4216,4.6030,5.7455,4.4263,27.4770,1059.35
Std_1_10,5,19.7760,21.5100,3.2829,1638400000,1638400000,3.8268,8.3184,4.1092,5.6747,4.3432,26.2724,1059.35
Std_1_10,6,22.6660,24.3700,3.1229,1638400000,1638400000,4.0264,8.3760,4.3244,6.1710,4.3768,27.2747,1059.35
Std_1_10,7,25.4760,27.0100,2.9731,1638400000,1638400000,3.9444,8.3063,4.2461,5.5558,4.3741,26.4267,1059.35
Std_1_10,8,28.2660,29.2600,2.8200,1638400000,1638400000,4.0410,8.3986,4.3240,5.7019,4.4062,26.8716,1059.35
Std_1_10,9,30.8900,30.3900,2.6837,1638400000,1638400000,4.3698,8.3885,4.6990,5.6532,4.5663,27.6769,1059.35
Std_1_10,10,33.3960,32.2200,2.5659,1638400000,1638400000,3.8284,8.3699,4.1131,5.6006,4.3214,26.2333,1059.35
Std_1_10,11,35.2020,33.1800,2.4648,1638400000,1638400000,4.0581,8.3518,4.3622,6.1725,4.3822,27.3269,1059.35
Std_1_10,12,37.5180,35.2900,2.3616,1638400000,1638400000,3.8637,8.3634,4.1585,5.9666,4.3810,26.7332,1059.35
Std_1_10,13,39.5100,35.7700,2.2790,1638400000,1638400000,3.9581,8.3690,4.2591,5.7895,4.3943,26.7699,1059.35
Std_1_10,14,40.8020,38.6200,2.2178,1638400000,1638400000,3.8277,8.3641,4.1103,6.0390,4.3433,26.6844,1059.35
Std_1_10,15,42.0760,41.2700,2.1518,1638400000,1638400000,4.0207,8.3617,4.3190,5.5228,4.4057,26.6299,1059.35
Std_1_10,16,43.5520,41.4000,2.0790,1638400000,1638400000,3.8967,8.3286,4.1889,5.9109,4.3939,26.7189,1059.35
Std_1_10,17,45.0620,40.8800,2.0236,1638400000,1638400000,4.0873,8.3782,4.3812,5.8195,4.4257,27.0918,1059.35
Std_1_10,18,46.4720,43.0000,1.9626,1638400000,1638400000,4.3228,8.3678,4.6493,5.5297,4.4221,27.2918,1059.35
Std_1_10,19,47.5460,42.8200,1.9174,1638400000,1638400000,4.0141,8.3066,4.3236,5.6067,4.3680,26.6189,1059.35
Std_1_10,20,48.1700,45.4500,1.8830,1638400000,1638400000,3.9318,8.3381,4.2326,5.8051,4.3595,26.6671,1059.35
Std_1_10,21,49.5940,46.7400,1.8185,1638400000,1638400000,4.1869,8.3949,4.5031,6.1147,4.3848,27.5844,1059.35
Std_1_10,22,50.4120,46.5800,1.7914,1638400000,1638400000,4.0488,8.3694,4.3548,5.6827,4.4356,26.8912,1059.35
Std_1_10,23,51.8280,47.3100,1.7429,1638400000,1638400000,4.2138,8.3980,4.5206,5.8484,4.4831,27.4639,1059.35
Std_1_10,24,52.4240,47.3700,1.7044,1638400000,1638400000,4.0270,8.3809,4.3258,5.8120,4.3531,26.8989,1059.35
Std_1_10,25,53.2060,48.2200,1.6794,1638400000,1638400000,3.8380,8.3444,4.1233,5.9578,4.3362,26.5996,1059.35
Std_1_10,26,54.0020,47.9700,1.6391,1638400000,1638400000,4.0620,8.3728,4.3646,5.7727,4.4018,26.9738,1059.35
Std_1_10,27,54.3340,49.1700,1.6233,1638400000,1638400000,4.0306,8.3585,4.3254,5.5279,4.3660,26.6084,1059.35
Std_1_10,28,55.5460,49.9900,1.5757,1638400000,1638400000,3.9714,8.3556,4.2573,5.7815,4.3501,26.7159,1059.35
Std_1_10,29,56.5800,51.0500,1.5348,1638400000,1638400000,4.2598,8.3705,4.5737,5.6814,4.4122,27.2976,1059.35
Std_1_10,30,57.0840,52.0000,1.5150,1638400000,1638400000,4.1149,8.4255,4.4082,5.7340,4.4167,27.0993,1059.35
Std_1_10,31,57.6560,51.3300,1.4987,1638400000,1638400000,4.2139,8.4148,4.5377,5.5954,4.4308,27.1926,1059.35
Std_1_10,32,58.4720,51.1100,1.4544,1638400000,1638400000,4.0854,8.3649,4.3929,5.7241,4.4841,27.0514,1059.35
Std_1_10,33,58.4360,49.7100,1.4554,1638400000,1638400000,4.0592,8.3628,4.3694,5.5295,4.4180,26.7389,1059.35
Std_1_10,34,59.2280,52.9900,1.4264,1638400000,1638400000,3.9336,8.3515,4.2309,5.7793,4.4033,26.6987,1059.35
Std_1_10,35,59.7520,52.1300,1.4053,1638400000,1638400000,3.9669,8.3797,4.2570,5.9051,4.4533,26.9620,1059.35
Std_1_10,36,60.2940,53.4500,1.3822,1638400000,1638400000,3.9951,8.3592,4.2805,5.8739,4.4205,26.9292,1059.35
